nomBeneficiaire,type
ADN MP DIGITAL PLACE ASSOC,Autres organisations fonctionnant par adhésion volontaire
MFPF MOUVEMENT FRANCAIS PLANNING FAMILIAL HAUTE-GARONNE ASSOC,Action sociale sans hébergement n.c.a.
GIP DOC 31 DEPISTAGE ORGANISE DES CANCERS EN HAUTE-GARONNE,Adm. pub. tutelle santé form. cult. & social (aut que sécu. soc.)
MOUVEMENT DES ENTREPRENEURS SOCIAUX ASSOC,Autres organisations fonctionnant par adhésion volontaire
MAISON EMPLOI DE TOULOUSE ASSOC,Autres organisations fonctionnant par adhésion volontaire
MIX ARTS MYRYS ASSOC,Autres organisations fonctionnant par adhésion volontaire
ICF ATLANTIQUE HLM SA,Location de logements
INCUBATEUR REGIONAL NUBBO,Conseil pour les affaires et autres conseils de gestion
GRISELIDIS ASSOC,Autres organisations fonctionnant par adhésion volontaire
K DANSE,Arts du spectacle vivant
MISSION LOCALE TOULOUSE,Administration publique (tutelle) des activités économiques
PATRIMOINE LANGUEDOCIENNE HLM SA,Promotion immobilière de logements
OBSERVER IMMOBILIER TOULOUSAIN,Autres organisations fonctionnant par adhésion volontaire
SNI SUD OUEST AGENCE TOULOUSE SA,Location de logements
PREVENTION ROUTIERE ASSOC,Autres organisations fonctionnant par adhésion volontaire
SNCF RESEAU,Services auxiliaires des transports terrestres
SAS BIOVA,"Analyses, essais et inspections techniques"
ORANGE SA,Télécommunications filaires
OCTOPUS,Activités de soutien au spectacle vivant
SYNDICAT COPRO LES JONQUILLES,Activités combinées de soutien lié aux bâtiments
SDS LES CASTALIDES JUDICIAIRE,NA
CENT POUR CENT PUR SPORT ASSOC,Autres organisations fonctionnant par adhésion volontaire
DES CHALETS HLM SA,Location de logements
BGE SUD OUEST ASSOC,Formation continue d'adultes
COORACE OCCITANIE,Autres organisations fonctionnant par adhésion volontaire
DELL ARTE ASSOC,Arts du spectacle vivant
BOIS ET COMPAGNIE,Autres organisations fonctionnant par adhésion volontaire
DICVIE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ADOMA SA,Location de logements
API SARL,Fabrication de portes et fenêtres en métal
CCI TERRASSA,NA
UNION REGIONALE CFTC MIDI PYRENEES,Activités des syndicats de salariés
SYNDICAT FORCE OUVRIERE TM,Activités des syndicats de salariés
ACADEMIE AIR ET ESPACE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CENTRE INFORMATION SUR DROITS FEMMES ET FAMILLES HAUTE GARONNE,Autres organisations fonctionnant par adhésion volontaire
ADIE DROIT A L INITIATIVE ECONOMIQUE ASSOC,Action sociale sans hébergement n.c.a.
CCIT CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE,Activités des organisations patronales et consulaires
CLASSISCO POUR LA MUSIQUE A L ECOLE ASSOC,Arts du spectacle vivant
CARREFOURS POUR L EMPLOI,Action sociale sans hébergement n.c.a.
CENTRE FORMATION DEPARTEMENTAL,Administration publique générale
COMPAGNIE DES MOBILITES SARL,Programmation informatique
COMMUNE DE TOURNEFEUILLE,Administration publique générale
COMMUNE DE TOULOUSE,Administration publique générale
ANDORRA DESENVOLUPAMENT I INVERSIO,NA
REGIONALE DES CHANTIERS IMPORTANTS DE MIDI PYRENEES ASSOC,Activités des organisations professionnelles
RFTM RECETTE DES FINANCES TOULOUSE MUNICIPALE,Administration publique générale
SUAPS SERVICE UNIV ACTIVITES PHYSIQUES SPORTIVES,Enseignement de disciplines sportives et d'activités de loisirs
POINT RENCONTRE CHOMEURS ET PRECAIRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
SEE ELECTRICIEN ELECTRONICIEN ASSOC,Activités des organisations professionnelles
OFFICE DU TOURISME DE TOULOUSE,Activités des agences de voyage
ONCOPOLE DE TOULOUSE ASSOC,Autres organisations fonctionnant par adhésion volontaire
SOLAGRO ASSOC,Activités de soutien aux cultures
SYNDICAT INTERCO CFDT MAIRIE TOULOUSE METROPOLE,Activités des syndicats de salariés
ORGANISATION BUS CYCLISTES,Autres organisations fonctionnant par adhésion volontaire
GNSS USAGE INNOVATION AND DEVELOPPEMENTOF EXCELLENCE ASSOC,"Analyses, essais et inspections techniques"
GRAPHITI CIRDD MIDI PYRENEES ASSOC,Action sociale sans hébergement n.c.a.
MIDI PYRENEES ACTIVE ASSOC,Conseil pour les affaires et autres conseils de gestion
LA MAISON DU VELO ASSOC,Autres organisations fonctionnant par adhésion volontaire
LIGUE DE L ENSEIGNEMENT 31,Autres organisations fonctionnant par adhésion volontaire
MIDI PYRENEES EXPANSION,Administration publique (tutelle) des activités économiques
COOP ACTION SARL,Travaux de maçonnerie générale et gros oeuvre de bâtiment
LES VIDEOPHAGES,Projection de films cinématographiques
ISSAT ASSOC,NA
FACE,Restauration de type rapide
TERRITOIRES LOGEMENT ET ANALYSES SOCIALES ASSOC,"Ingénierie, études techniques"
UNIVERSITE FEDERALE DE TOULOUSE MIDI-PYRENEES,Enseignement supérieur
CNRS CTRE NAT DE LA RECHERCHE SCIENTIFIQUE,Recherche-développement en autres sciences physiques et naturelles
ECOLE DES DROITS DE L HOMME ASSOC,Autres enseignements
ECOLE DES PARENTS ET EDUCATEURS,Formation continue d'adultes
FESTIVAL LIVRE JEUNESSE OCCITANIE,Autres organisations fonctionnant par adhésion volontaire
COMMUNE DE ST ORENS DE GAMEVILLE,Administration publique générale
COMPAGNIE LA BARAQUE,Arts du spectacle vivant
COMMUNE DE COLOMIERS,Administration publique générale
ERABLES 31,Autres organisations fonctionnant par adhésion volontaire
CONTACT HG,Autres organisations fonctionnant par adhésion volontaire
UREI UNION REG ENTREP INSERTION MIDI PYRENEES ASSOC,Activités des organisations professionnelles
SOCIETE DE LA MOBILITE DE L AGGLOMERATION SA,"Ingénierie, études techniques"
TOULOUSE METROPOLE EMPLOI ASSOC,Autres organisations fonctionnant par adhésion volontaire
UNIVERSITE TOULOUSE 1 CAPITOLE,Enseignement supérieur
SEM MINT MARCHE GARE TOULOUSE,Administration d'immeubles et autres biens immobiliers
TOULOUSE METROPOLE HABITAT,Location de logements
UNIS CITE,Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents
SYNDICAT COPRO LES PERVENCHES,Activités combinées de soutien lié aux bâtiments
SAVIM SERVICE AIDE AUX VICTIMES D INFORMATION DE MEDIATION ASSOC,NA
SA D HABITATIONS A LOYER MODERE ALTEAL SA,Location de logements
MISSION LOCALE ASSOCIATION SIEGE ASSOC,Administration publique (tutelle) des activités économiques
RECH INNOV THERAPEUTIC CANCERO FONDATION,Autres organisations fonctionnant par adhésion volontaire
RESEAU ENTREPRENDRE OCCITANIE GARONNE,Activités des organisations patronales et consulaires
SEMECCEL CITE DE L ESPACE,Activités des parcs d'attractions et parcs à thèmes
MOUVEMENT ASSOCIATIF OCCITANIE,Autres activités récréatives et de loisirs
POLE EMPLOI MIDI PYRENEES,Administration publique (tutelle) des activités économiques
SEMIDIAS,Conseil pour les affaires et autres conseils de gestion
ONERA,Recherche-développement : autres sciences physiques et naturelles
AUAT AGENCE  URBANISME AGGLOMERATION TOULOUSAINE ASSOC,Activités d'architecture
CENTRE RECHERCHE ET MEDIATION CERME ASSOC,Autres organisations fonctionnant par adhésion volontaire
BIOMEDICAL ALLIANCE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CLUB GALAXIE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CCI ZARAGOZA,NA
ASPJ ASS SOUTIEN PREVENTION JUDICIAIRE ASSOC,Action sociale sans hébergement n.c.a.
CLUB DES CONSEILS SYNDICAUX DE LA HAUTE GARONNE,Autres organisations fonctionnant par adhésion volontaire
CNES CENTRE NATIONAL D ETUDES SPATIALES,Recherche-développement en autres sciences physiques et naturelles
CHAMBRE DEPT  AGRICULTURE HAUTE-GARONNE,Activités des organisations patronales et consulaires
AVENIR NOUVELLE MAISON DES CHOMEURS,Autres organisations fonctionnant par adhésion volontaire
CICF MIDI PYRENEES,Activités des organisations professionnelles
APUMP ASSOC,Autres organisations fonctionnant par adhésion volontaire
ARPADE,Activités hospitalières
MAISON DES DROITS DES ENFANTS ET DES JEUNES,Action sociale sans hébergement n.c.a.
ORCHESTRE DE CHAMBRE DE TOULOUSE SCCP,Autre création artistique
LA MAISON DE L INITIATIVE SCOP,Formation continue d'adultes
REGIONALE FNARS MIDI PYRENEES ASSOC,Action sociale sans hébergement n.c.a.
PARTAGEONS LES JARDINS,Autres organisations fonctionnant par adhésion volontaire
LA  MELEE ASSOC,"Traitement de données, hébergement et activités connexes"
PROMOLOGIS SA,Location de logements
UNION REG SOCIETES COOPERATIVE DE PRODUCTION ASSOC,Autres activités de soutien aux entreprises n.c.a.
UCJG UNION CHRET JEUNES GENS ROBERT MONNIER ASSOC,Hébergement social pour adultes et familles en difficultés et autre hébergement social
SM POUR L AMENAGEMENT DE LA FORET BOUCONNE,Gestion d'installations sportives
SCIENCE ANIMATION,Activités de soutien au spectacle vivant
VIA BRACHY,Autres organisations fonctionnant par adhésion volontaire
SFHE,Location de logements
SYNDICAT UECT UNSA UNION EMPLOYE,Activités des syndicats de salariés
SYNDICAT SUD CUTM,Activités des syndicats de salariés
CRESS CHAMBRE REG ECONOMIE SOCIALE ET SOLIDAIRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
INITIATIVES POUR UNE ECONOMIE SOLIDAIRE - IES - SCIC,Activités des sociétés holding
FRANCE NATURE ENVIRONNEMENT MIDI-PYRENEES,Autres organisations fonctionnant par adhésion volontaire
EUROPEENNE DU FILM D ANIMATION CARTOON,"Organisation de foires, salons professionnels et congrès"
LA CITE DES JARDINS HLM SA,Location de logements
ET QUI LIBRE MARIONNETTISSIMO,Arts du spectacle vivant
LA GRAINERIE ASSOC,Arts du spectacle vivant
LA GLANERIE ASSOC,Autres organisations fonctionnant par adhésion volontaire
COMMUNE DE FONBEAUZARD,Administration publique générale
IMO LLEIDA,Activités des marchands de biens immobiliers
ANAH AGENCE NATIONALE DE L HABITAT,Administration publique (tutelle) des activités économiques
3F OCCITANIE SA,Location de logements
ADEPES,Autres organisations fonctionnant par adhésion volontaire
FFPE FEDERATION DES FEMMES POUR L EUROPE,Autres organisations fonctionnant par adhésion volontaire
COMITE BASSIN  EMPLOI NORD HAUTE GARONNE,Autres organisations fonctionnant par adhésion volontaire
DES ETOILES ET DES AILES ASSOC,Autres organisations fonctionnant par adhésion volontaire
ECOLE REGIONALE 2EME CHANCE ASSOC,Formation continue d'adultes
COMPAGNIE NELSON DUMONT,Arts du spectacle vivant
COMPETENCES PLUS ASSOC,Autre mise à disposition de ressources humaines
EUROSUD TRANSPORT,Transports routiers de marchandises interurbains
CA SICOVAL,Administration publique générale 
DOMICIMM SARL,Agences immobilières
DO RE MI FA SPORTS,Débits de boissons
LES PETITS DEBROUILLARDS MIDI PY ASSOC,Autres activités récréatives et de loisirs
PREFIG CONFLUENCE GARONNE ARIEGE ASSOC,Autres organisations fonctionnant par adhésion volontaire
NOUVEAU LOGIS MERIDIONAL HLM SA,Location de logements
GRAINE MIDI PYRENEES ASSOC,Autres organisations fonctionnant par adhésion volontaire
MUTUELLE INTERIALE,Activités des agents et courtiers d'assurances
NUMERICABLE SAS,Télécommunications filaires
L USINE,Arts du spectacle vivant
ONCOMIP ASSOC,NA
JENI ASSOC,NA
OPPIDEA SEM,Construction d'autres ouvrages de génie civil n.c.a.
SYNDICAT NATIONAL DIRECTEURS GENERAUX COLLECT TERRITORIALES,Activités des syndicats de salariés
PROTECTION ENFANCE ET ADOLESCENCE ASSOC,Action sociale sans hébergement n.c.a.
THEATRE ET ORCHESTRE DU CAPITOLE,Gestion de salles de spectacles
UNIVERSITE TOULOUSE II JEAN JAURES,Enseignement supérieur
PROMOSALONS SALON SIANE,Commerce de détail de meubles
SEM SO TOULOUSE,Administration publique (tutelle) des activités économiques
SYNDICAT CGT ORGANISA CUTM,Activités des syndicats de salariés
SYNDICAT COPRO LES TOURNESOLS,Activités combinées de soutien lié aux bâtiments
AGENCE DE DEV ECONOMIQUE TOULOUSE METROPOLE - INVEST IN TLSE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ACCUEIL ET FAMILLE PLACEMENT FAMILIAL ASSOC,Hébergement social pour enfants en difficultés
AGIT GROUPE INTERVENTIONS THEATRALES ASSOC,Arts du spectacle vivant
AGRI SUD OUEST INNOVATION SA,Autres organisations fonctionnant par adhésion volontaire
CANCER BIO SANTE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ATMO OCCITANIE,"Analyses, essais et inspections techniques"
AEROSPACE VALLEY,Autres organisations fonctionnant par adhésion volontaire
ACOUCITE ASSOC,NA
A CROQUER,Autres organisations fonctionnant par adhésion volontaire
ASS DEV EPREUV EDUCAT ECO-MOBILITE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CLAP MIDI PYRENEES - CRLAPP,Autres organisations fonctionnant par adhésion volontaire
DEPART PROTECTION CIVILE DE LA HAUTE GARONNE  ASSOC,Action sociale sans hébergement n.c.a.
ETRE MOBILE C EST PERMIS,Autres organisations fonctionnant par adhésion volontaire
FACE GRAND TOULOUSE  ASSOC,Autres organisations fonctionnant par adhésion volontaire
GENERATIONS CANDIE ASSOC,NA
LA MENAGERIE ASSOC,Production de films pour le cinéma
PLANETE SCIENCES OCCITANIE,Autres organisations fonctionnant par adhésion volontair
SEM ALTIGONE,Activités des sièges sociaux
SNCF,Transport ferroviaire interurbain de voyageurs 
TISSEO COLLECTIVITES SMTC AGGLOMERATION TOULOUSAINE,Administration publique (tutelle) des activités économiques
TRAVAIL DIFFERENT ASSOC,Formation continue d'adultes
PRISM POUR LA RECHERCHE ET INFO SOCIALE ET MEDICALE ASSOC,Études de marché et sondages
REFLET 31,Action sociale sans hébergement n.c.a.
DEPARTEMENT DE LA HAUTE-GARONNE PRINCIPAL,Administration publique générale
ECOLE ARCHITECTURE DE TOULOUSE,Enseignement supérieur
ECOLE DE CIRQUE PEP S,Autres organisations fonctionnant par adhésion volontaire
CORPS ET ARTS,Arts du spectacle vivant
AVANTI POPOLO ASSOC,Autres organisations fonctionnant par adhésion volontaire
BE  BLIBOP ASSOC,Arts du spectacle vivant
OPH 31 OFFICE PUBLIC DE L HABITAT HAUTE GARONNE,Location de logements
INRA INSTITUT NATIONAL RECHERCHE AGRONOMIQUE,Recherche-développement en autres sciences physiques et naturelles
INSTITUT AERO FORMATIONS,Formation continue d'adultes
HOLEO DEVELOPPEMENT,Formation continue d'adultes 
IDEES INTERIM,Activités des agences de travail temporaire
AIMP ASS INGENIERIE MIDI PYRENEES ASSOC,Autres organisations fonctionnant par adhésion volontaire
AAAF GROUPE REGIONAL DE TLSE,Formation continue d'adultes
2 BOUTS ASSOC,NA
ACDENT GROUPE DE THEATRE EUROPEEN,NA
AMICALE DU NID ASSOC,Action sociale sans hébergement n.c.a.
ARCHIVES SOLUTIONS SARL,Services administratifs combinés de bureau
ARTILECT ASSOC,Autres organisations fonctionnant par adhésion volontaire
CIRQUE DE FEMMES EN TOUT GENRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
FEDERATION FRANCAISE MOTARDS EN COLERE 31 ASSOC,Autres organisations fonctionnant par adhésion volontaire
IEP INSTITUT  ETUDES POLITIQUES 31,Enseignement supérieur
INSTITUT FORMATION SLOW FOOD,Autres organisations fonctionnant par adhésion volontaire
ISDAT INSTITUT SUP DES ARTS DE TOULOUSE,Enseignement supérieur
MIPY GREEN ASSOC,Autres organisations fonctionnant par adhésion volontaire
RESEAU SEMENCES PAYSANNES ASSOC,Autres organisations fonctionnant par adhésion volontaire
SOLIHA HAUTE GARONNE,Action sociale sans hébergement n.c.a.
UIMM MIDI-PYRENEES,Activités des organisations patronales et consulaires
AMENE MOI UN MOUTON ASSOC,Autres organisations fonctionnant par adhésion volontaire
