nomBeneficiaire,type
BLEUE COMME UNE ORANGE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CEPIERE FORMATION ASSOC,Autres organisations fonctionnant par adhésion volontaire
CITES DU SECOURS CATHOLIQUE EX ASSO CITE LA MADELAINE ASSOC,Accueil de jeunes enfants
COMMUNE DE BLAGNAC,Administration publique générale
CRP CENTRE REGIONAL DE PRODUCTIVITE ASSOC,Formation continue d'adultes
INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE,Enseignement supérieur
PAROLE EXPRESSION,Formation continue d'adultes
UNION SOCIALE POUR L HABITAT MIDI PYRENEES ASSOC,Autres organisations fonctionnant par adhésion volontaire
VERUNI ASSOC,Autres organisations fonctionnant par adhésion volontaire
AMF 31 ASSOCIATION DES MAIRES DE LA HAUTE GARONNE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ATOUT BOUT CHAMP ASSOC,Autres organisations fonctionnant par adhésion volontaire
CEA DE GRENOBLE DRT VALO CELISE,NA
EGALITERE,Formation continue d'adultes
HORIZONS CROISES,Arts du spectacle vivant
LES IMAGINATIONS FERTILES SCIC,Autres activités de soutien aux entreprises n.c.a.
MAISON  EUROPE ASSOC,Autres organisations fonctionnant par adhésion volontaire
NATURE MIDI PYRENEES ASSOC,Autres organisations fonctionnant par adhésion volontaire
PIXIENCE,"Activités spécialisées, scientifiques et techniques diverses"
POLE DE COMPETITIVITE EQUESTRE DE LA METROPOLE TOULOUSAINE ASSOC,NA
RESEAU COCAGNE ASSOC,Autres organisations fonctionnant par adhésion volontaire
SELEXEL,Recherche-développement en biotechnologie
SEQUENCE ASSOC,Autres organisations fonctionnant par adhésion volontaire
SYND MIXTE CONSERVATOIRE BOTANIQUE PYRENEEN,Gestion des jardins botaniques et zoologiques et des réserves naturelles
TERRITOIRES DE CIRQUE ASSOC,Autres organisations fonctionnant par adhésion volontaire
TOULOUSE LE MARATHON DU LIVRE ASSOC,"Organisation de foires, salons professionnels et congrès"
ARESO ASSOC,NA
BAJO EL MAR ASSOC,Arts du spectacle vivant
COMITE LOCAL LOGEMENT AUTONOME DES JEUNES,Action sociale sans hébergement n.c.a.
CROQUEURS DE CAROTTES ASSOC,Autres organisations fonctionnant par adhésion volontaire
DERBI,NA
ECOLE D INGENIEURS DE PURPAN ASSOC,Enseignement supérieur
FRIENDISES SAS,Pâtisserie
HERBES FRAICHES ET FOLLES EN VILLE ASSOC,Autres organisations fonctionnant par adhésion volontaire
LES ECO LIES ASSOC,Autres organisations fonctionnant par adhésion volontaire
POPATEX ASSOC,Arts du spectacle vivant
ROULE MA FRITE 31 ASSOC,Entretien et réparation de véhicules automobiles légers
SPECTAMBUL ASSOC,Autres organisations fonctionnant par adhésion volontaire
SYNDICAT APICULTEURS MIDI PYRENEES,Activités des organisations professionnelles
AIRBUS GROUP SAS,Activités des sièges sociaux
ANDES ASS NAT DEVELOP EPICERIES SOLIDAIRES ASSOC,Autres organisations fonctionnant par adhésion volontaire
CRL CENTRE REGIONAL DES LETTRES ASSOC,Autres organisations fonctionnant par adhésion volontaire
CROUS CENTRE REGIONAL OEUVRES UNIVERSITAIRES SCOLAIRES,Action sociale sans hébergement n.c.a.
ECOLE NATIONALE VETERINAIRE,Enseignement supérieur
FONDATION JJ LAFFONT,Recherche-développement en sciences humaines et sociales
FRANCE NATURE ENVIRONNEMENT ASSOC,Autres organisations fonctionnant par adhésion volontaire
PETANIELLE ASSOC,NA
RECYCLO BAT,Collecte des déchets non dangereux
REFLETS,Autres organisations fonctionnant par adhésion volontaire
TERRE DE LIENS MIDI PYRENEES ASSOC,Autres organisations fonctionnant par adhésion volontaire
ACROSTICHES ET COMPAGNIE ASSOC,Arts du spectacle vivant
FORMATION LOCALE ET INTERNATIONALE A L ECONOMIE SOLIDAIRE,Formation continue d'adultes
ASF AUTOROUTES SUD DE LA FRANCE SA (VINCI AUTOROUTES),Services auxiliaires des transports terrestres
CTE DEP RANDONNEE PEDESTRE HAUTE GARONNE,Activités de clubs de sports
FUB,NA
TERRE EN VIE 65  ASSOC,NA
SOLIBRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ITINERAIRE INTERNATIONAL ASSOC,Autres organisations fonctionnant par adhésion volontaire
LIEBHERR AEROSPACE TOULOUSE,Construction aéronautique et spatiale
PAR HAZ ART ASSOC,Enseignement culturel
CENTRE D ETUDE TERRE D ACCUEIL DES BLES CETAB ASSOC,Autres organisations fonctionnant par adhésion volontaire
CANCEROPOLE GRAND SUD OUEST  GIP,Recherche-développement en autres sciences physiques et naturelles
CONFERENCE PERMANENTE DE L URBANISME ASSOC,Enseignement supérieur
DESBALS SERVICES REGIE DE QUARTIER,Action sociale sans hébergement n.c.a.
FRANCO HONGROISE MIDI PYRENEES,Autres organisations fonctionnant par adhésion volontaire
COMMUNE DE QUINT FONSEGRIVES,Administration publique générale
COMMUNE D AUCAMVILLE,Administration publique générale
MAISON DE L ARCHITECTURE OCCITANIE PYRENEES,Autres organisations fonctionnant par adhésion volontaire
HUMUS ET ASSOCIES H ET A,Autres organisations fonctionnant par adhésion volontaire
LE PAIN ART ASSOC,Boulangerie et boulangerie-pâtisserie
INSA TOULOUSE,Enseignement supérieur
INSERM,Recherche-développement : autres sciences physiques et naturelles
TOULOUSE METROPOLE ASSAINISSEMENT,Collecte et traitement des eaux usées
URBANIS SAS,Activités d'architecture
ARBRES ET PAYSAGES D AUTAN ASSOC,Autres organisations fonctionnant par adhésion volontaire
CERCLE D ETUDES POUR LE RAYONNEMENT DE LA CULTURE DE LA LANGUE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CHAMBRE DES METIERS ET DE L ARTISANAT HAUTE GARONNE,Activités des organisations patronales et consulaires
CONVIVENCIA ASSOC,Arts du spectacle vivant
DEUX PIEDS DEUX ROUES  ASSOC,Autres organisations fonctionnant par adhésion volontaire
FLA-KULTUR,Autres organisations fonctionnant par adhésion volontaire
GEIQ PROPRETE TOULOUSE ASSOC,Autre mise à disposition de ressources humaines
GENOSKIN SAS,Recherche-développement en biotechnologie
METEO FRANCE DIRECTION DE LA PRODUCTION,Administration publique (tutelle) des activités économiques
TERR EAU CIEL ASSOC,Activités de clubs de sports
TOULOUSE EN TRANSITION ASSOC,Autres organisations fonctionnant par adhésion volontaire
TOULOUSE METROPOLE EAU POTABLE,"Captage, traitement et distribution d'eau"
UNION DEP CONSOMMATION LOGEMENT ET CADRE DE VIE CLCV31 ASSOC,Autres organisations fonctionnant par adhésion volontaire
MIGRATEURS GARONNE DORDOGNE ASSOC MIGADO,Autres organisations fonctionnant par adhésion volontaire
GPT LA GARONNE EUREA SCAM,NA
MOBILIB CITIZ TOULOUSE SCIC,Location de courte durée voitures & véhicules auto. légers
CAUSSAT ESPACES VERTS SAS,Services d'aménagement paysager
COMPAGNONS BATISSEURS,NA
ESN TOULOUSE ASSOC,Autres organisations fonctionnant par adhésion volontaire
GREENBURO SARL,Collecte des déchets non dangereux
ODRADEK ASSOC,Arts du spectacle vivant
LES CHEMINS BUISSONNIERS ASSOC,Arts du spectacle vivant
FULLSAVE SAS,Conseil en systèmes et logiciels informatiques
DEPARTEMENTALE FRANCAS HAUTE-GARONNE ASSOC,Autres organisations fonctionnant par adhésion volontaire
THEATRE GARONNE ASSOC,Gestion de salles de spectacles
SYNDICAT AUTONOME LE GOURDIN FA FPT,Activités des syndicats de salariés
TRESORERIE COLOMIERS LEGUEVIN,Administration publique générale
UROSPHERE SAS,Recherche-développement en biotechnologie
4 R CONCEPT SAS,Fabrication de bicyclettes et de véhicules pour invalides
3PA ASSOC,Autres enseignements
ADIL 31 ASSOC,Autres organisations fonctionnant par adhésion volontaire
ALTERN MOBIL SCIC,Transports routiers de fret de proximité
FIL ROUGE,Production de films institutionnels et publicitaires
REGION INTERPROFESSION PORCINE - MIDIPORC - ASSOC,Autres organisations fonctionnant par adhésion volontaire
REGION OCCITANIE,Administration publique générale
REG SAUVEGARDE ENFANT ADO ADUL ARSEAA,Autres organisations fonctionnant par adhésion volontaire
54 H CHRONO,Activités des organisations patronales et consulaires
CRIJ CENTRE REGIONAL INFORMATION JEUNESSE,Autres organisations fonctionnant par adhésion volontaire
FONCIERE D HABITAT ET HUMANISME SA,Location de logements
EASYTRI SARL,Collecte des déchets non dangereux
MOUVEMENT EUROPEEN HAUTE-GARONNE ASSOC,Activités des organisations politiques
COLLECTIF JEUNES DU MONDE,Autres organisations fonctionnant par adhésion volontaire
CIE MESSIEURS MESDAMES,Arts du spectacle vivant
PREFECTURE DE LA HAUTE GARONNE,Administration publique générale
TOULOUSE ANDROID USER GROUP,NA
AILES ANCIENNES TOULOUSE DOTATION ASSOC,Autres organisations fonctionnant par adhésion volontaire
COMMUNE DE FENOUILLET,Administration publique générale
LES AMIS DE LA POLOGNE ASSOC,Autres organisations fonctionnant par adhésion volontaire
NATIONALE LE REFUGE ASSOC,Autres organisations fonctionnant par adhésion volontaire
MJC PREVERT ASSOC,Autres organisations fonctionnant par adhésion volontaire
LE RELAIS,"Hébergement social pour adultes, familles en difficultés et autre"
SPORTIVE ET CULTURELLE DES ARENES ASSOC,Autres organisations fonctionnant par adhésion volontaire
SIGFOX SA,"Ingénierie, études techniques"
AGFCCBM ASSOC,Autres organisations fonctionnant par adhésion volontaire
ASSOC DIALOGUE METROPOLITAIN DE TOULOUSE,Autres organisations fonctionnant par adhésion volontaire
AUTOMOTECH-CLUSTER ASSOC,Autres organisations fonctionnant par adhésion volontaire
CAISSE EPARGNE ET PREVOYANCE MIDI PYRENEES,Autres intermédiations monétaires
COLLECTIF DES ASS DES PRADETTES,Autres activités récréatives et de loisirs
ENAC ECOLE AVIATION CIVILE,Enseignement supérieur
HABITANTS ET ASSOCIATIONS SOLIDAIRES ET UNIES POUR REUSSIR EMPALOT,Autres organisations fonctionnant par adhésion volontaire
MADEELI ASSOC,Conseil pour les affaires et autres conseils de gestion
NC NUMERICABLE SASU,Télécommunications filaires
ROTARY CLUB ASSOC,Action sociale sans hébergement n.c.a.
SOCIETA DANTE ALIGHIERI ASSOC,Autres enseignements
AMPM ARCHITECTES SARL,Activités d'architecture
ISAE INSTITUT SUP AERO ET DE L ESPACE,Enseignement supérieur
LYCEE DEODAT DE SEVERAC GRETA TOULOUSE,Formation continue d'adultes
SOUTIEN  ENSEIGNEMENT AUX ENFANTS MALADES ASEEM ASSOC,Autres organisations fonctionnant par adhésion volontaire
ROSALIE ECHANGE SOLDARITE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ASSOCIATION DU CONSEIL  CITOYEN COLUMERIN,Autres organisations fonctionnant par adhésion volontaire
CONSEIL BAFAPATABOR ASSOC,Autres organisations fonctionnant par adhésion volontaire
CITES UNIES FRANCE ASSOC,Autres organisations fonctionnant par adhésion volontaire
NOUVELLE REGIE NORD SARL,Nettoyage courant des bâtiments
RA PARI,NA
AFCCC ASS FRANCAISE DES CENTRES DE CONSULTATION CONJUGALE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ASSOCIATION CONSEIL CITOYEN VIVIER CITOYENS,Autres organisations fonctionnant par adhésion volontaire
CARREFOUR CULTUREL ARNAUD BERNARD ASSOC,Autres organisations fonctionnant par adhésion volontaire
AGENCE INGENIERIE SOCIALE,Formation continue d'adultes
CJD TOULOUSE ASSOC,Activités des organisations professionnelles
HOTEL ALBERT 1ER,Hôtels et hébergement similaire
DE PAYSSAT SCI,Location de terrains et d'autres biens immobiliers
CONSEIL CITOYEN REYNERIE MIRAIL ASSOC,Autres organisations fonctionnant par adhésion volontaire
MEDECINS DU MONDE,Action sociale sans hébergement n.c.a.
FEDERATION FRANCAISE D ATHLETISME ASSOC,Activités de clubs de sports
ECOLE NAT SUP ARCHITECTURE MARNE VALLEE,Enseignement supérieur
INSTEP MIDI PYRENEES ASSOC,Formation continue d'adultes
LES CYCLES HEUREUX ASSO,Action sociale sans hébergement n.c.a.
ITINERANCE ORALE ASSOC,Arts du spectacle vivant
OCCITANIE COOPERATION,Autres organisations fonctionnant par adhésion volontaire
LETSBRO ASSOC,Autres activités de soutien aux entreprises n.c.a.
CENTRE DRAMATIQUE NATIONAL TOULOUSE OCCITANIE,Arts du spectacle vivant
CONSEIL CITOYEN SOUPETARD LA GLOIRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
TRESORERIE BLAGNAC,Administration publique générale
POUR PROMOTION CIRCUIT CANDIE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CHAMBRE REGIONALE DE METIERS ET DE L ARTISANAT OCCITANIE,Activités des organisations patronales et consulaires
CCTE CONSEIL CITOYEN TOULOUSE EMPALOT,Autres organisations fonctionnant par adhésion volontaire
CHAMP D ACTIONS,Autres organisations fonctionnant par adhésion volontaire
JARDINIERS DE TOURNEFEUILLE ASSOC,Autres organisations fonctionnant par adhésion volontaire
PINKPONG ASSOC,Création artistique relevant des arts plastiques
SOLAFRIKA,Autres organisations fonctionnant par adhésion volontaire
TA ASSOC,Autres organisations fonctionnant par adhésion volontaire
CENTRE DE CRISE ET DE SOUTIEN,Affaires étrangères
ACADEMIE CHANCELLERIE TLS SACIM,Adm. pub. tutelle santé form. cult. & social (aut que sécu. soc.)
AQUIFLOR,Commerce de gros (commerce interentreprises) de fleurs et plantes
COMPAGNIE ANNE MA SOEUR ANNE,Arts du spectacle vivant
CREAR ESCUELA FAIRE ECOLE,Autres organisations fonctionnant par adhésion volontaire
CULTURES DU COEUR,Autres organisations fonctionnant par adhésion volontaire
CONSEIL CITOYEN DES BARRADELS,Autres organisations fonctionnant par adhésion volontaire
ELEMEN TERRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
FEDERATION DES ENTREPRISES D INSERTION LANGUEDOC,Autres organisations fonctionnant par adhésion volontaire
FEDERATION NATIONALE DES ASSOCIATIONS D ACCUEIL - FNARS,Autres organisations fonctionnant par adhésion volontaire
PARTICIP ACTION,Recherche-développement en sciences humaines et sociales
RENCONT ROMS NOUS,Autres organisations fonctionnant par adhésion volontaire
UN ENFANT DES PARRAINS ASSOC,Action sociale sans hébergement n.c.a.
GROUPE RECHERCHE EDUCATION PROSPECTIVE,Autres organisations fonctionnant par adhésion volontaire
FONDATION PARTENARIALE I2ML,NA
JARDIN NATURE PIBRAC,Autres organisations fonctionnant par adhésion volontaire
EPIDE,NA
ASSOCIATION GENERALE DES PRODUCTEURS DE MAIS,Activités des organisations patronales et consulaires
DIRE,NA
SOLIDARITES INTERNATIONAL,Autres organisations fonctionnant par adhésion volontaire
TOULOUSE METROPOLE ONCOPOLE,Construction d'autres ouvrages de génie civil n.c.a.
VOYAGER EN IMAGES,Autres organisations fonctionnant par adhésion volontaire
WWF FRANCE,Autres organisations fonctionnant par adhésion volontaire
AGENCE DEVELOPPEMENT COMMUNAL VILLE ST LOUIS,NA
BOUGER POUR S EN SORTIR,Autres organisations fonctionnant par adhésion volontaire
APOIRC ASSOC,Arts du spectacle vivant
CANALART,Arts du spectacle vivant
CRF CROIX ROUGE FRANCAISE DELEGATION LOCALE TOULOUSE,Action sociale sans hébergement n.c.a.
COMMUNE DE ST JORY,Administration publique générale
CLUB ENTRE SECURITE ROUTIERE TLSE GARONN,Autres organisations fonctionnant par adhésion volontaire
COMITE JUMELAGE SAINT ALBAN,Autres organisations fonctionnant par adhésion volontaire
COMMUNE DE CASTELGINEST,Administration publique générale
COMMUNE DE GRATENTOUR,Administration publique générale
OCCITANIE PIONNIERES,Autres organisations fonctionnant par adhésion volontaire
PLUM SWORLD TOUR,Autres organisations fonctionnant par adhésion volontaire
REBONDS,Activités de clubs de sports
ENTREPRISE JEAN LATOUR SAS,Travaux de peinture et vitrerie
ECOLE CITOYENNE,Formation continue d'adultes
RESIDENCES SOCIALES DE FRANCE 3F,Location de terrains et d'autres biens immobiliers
FONDATION ETUDIANTE POUR LA VILLE,NA
EXTRA,"Ingénierie, études techniques"
HAMAP,Autres organisations fonctionnant par adhésion volontaire
